id,rotulo,long,lat,area_irrig,MAY/2016,JUNE/2016,JULY/2016,AUGUST/2016,MAY/2017,JUNE/2017,JULY/2017,AUGUST/2017,MAY/2018,JUNE/2018,JULY/2018,AUGUST/2018,MAY/2019,JUNE/2019,JULY/2019,AUGUST/2019,MAY/2020,JUNE/2020,JULY/2020,AUGUST/2020,MAY/2021,JUNE/2021,JULY/2021,AUGUST/2021
141,DUERE - 005,-49.482742,-11.172523,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
127,DUERE - 007,-49.627686,-11.126554,4107.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,10,31,-1,-1,-1,-1
128,DUERE - 008,-49.627705,-11.126545,4107.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,10,31,-1,-1,-1,-1
13,FORMOSO - 038,-49.834297,-10.748621,1100.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,12,10,2,0,1,10,2,0,1,0,18
145,JAVAES - 009,-50.005243,-11.465644,3500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
160,JAVAES - 018,-49.961916,-10.786407,1500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,4,0
30,URUBU - 003,-49.588757,-10.860949,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,8,10,2,0,4,1,0,31,31,31,1
159,JAVAES - 017,-49.961851,-10.786452,1500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,4,0
83,XAVANTE - 001,-49.63257,-11.383505,2600.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,20,31,31,14,0
11,URUBU - 014,-49.666954,-10.873199,704.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,-1,-1,-1,-1,31,31,21,0,18,1,1,0
58,URUBU - 035,-49.792397,-10.832636,500.0,-1,-1,-1,-1,-1,-1,-1,-1,22,1,0,0,0,4,12,30,31,31,11,0,0,1,0,0
151,JAVAES - 020,-49.935555,-10.561402,2200.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0
137,DUERE - 001,-49.379745,-11.207761,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,4,31,1,0
134,FORMOSO - 059,-49.677673,-11.399501,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,9,0
105,FORMOSO - 010,-49.762886,-11.792506,6706.0,-1,-1,-1,-1,-1,-1,-1,-1,8,1,0,0,0,1,0,2,10,1,0,0,0,1,0,0
103,FORMOSO - 011,-49.759785,-11.774934,6706.0,-1,-1,-1,-1,-1,-1,-1,-1,8,1,0,0,1,2,0,2,19,1,0,0,4,1,0,0
14,FORMOSO - 037,-49.83418,-10.748816,1100.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,11,10,2,0,1,10,1,0,1,0,18
102,FORMOSO - 009,-49.764847,-11.798149,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,-1,-1,-1,-1,22,1,0,0,0,1,0,0
22,FORMOSO - 026,-49.84482,-10.873628,8741.62,-1,-1,-1,-1,31,31,31,31,-1,-1,-1,-1,31,31,31,31,0,23,21,2,0,1,0,0
82,XAVANTE - 002,-49.632683,-11.383647,2600.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,20,31,31,14,0
95,FORMOSO - 002,-49.70171,-11.981676,4000.0,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,-1,-1,-1,-1,20,1,10,16,0,1,0,0
78,URUBU - 005,-49.598557,-10.867343,400.0,-1,-1,-1,-1,31,31,31,31,22,1,0,0,0,4,8,2,0,1,6,1,18,1,0,7
61,URUBU - 031,-49.746464,-10.808526,3200.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,1,0,2,0,1,24,31,17,1,0,0
157,JAVAES - 025,-49.934169,-10.545562,2500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
195,URUBU - 040,-49.676115,-10.863916,350.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,1,0,0
47,FORMOSO - 045,-49.900787,-10.638937,1490.0,-1,-1,-1,-1,-1,-1,-1,-1,0,16,31,31,-1,-1,-1,-1,31,12,0,0,0,2,0,0
