Streamflow Gauge Comparison
"Scenario: MySimulation170, Streamflow Gauge: Foz Rio Urubu Regionalizado 2"
Cubic Meters per Second
Statistic;Modeled;Observed
18/10/2019;5.91155;3.37793
19/10/2019;5.87644;3.40713
20/10/2019;5.85227;3.39462
21/10/2019;6.85446;3.38836
22/10/2019;6.02477;3.43773
23/10/2019;6.03476;3.48014
24/10/2019;6.00136;3.52047
25/10/2019;6.08788;3.4871
26/10/2019;6.0601;3.48292
27/10/2019;6.07942;3.49683
28/10/2019;6.45291;3.48988
29/10/2019;6.07545;3.46624
30/10/2019;6.06633;3.4572
31/10/2019;6.31688;3.44816
01/11/2019;5.7078;3.4266
02/11/2019;5.74479;3.42938
03/11/2019;5.79407;3.44885
04/11/2019;5.65629;3.49057
05/11/2019;5.83675;3.39752
06/11/2019;6.43657;3.51828
07/11/2019;5.92533;3.53767
08/11/2019;6.32537;3.48928
09/11/2019;6.22021;3.55895
10/11/2019;6.14456;3.52729
11/11/2019;6.35089;3.69106
12/11/2019;6.44391;3.57526
13/11/2019;5.96033;3.59265
14/11/2019;6.25512;3.6485
15/11/2019;6.04741;3.64633
16/11/2019;6.50934;3.66058
17/11/2019;7.30269;4.15725
18/11/2019;6.57589;4.29993
19/11/2019;6.29824;4.47656
20/11/2019;6.72738;4.46543
21/11/2019;6.73224;4.52314
22/11/2019;7.44361;4.90349
23/11/2019;6.84012;4.94545
24/11/2019;6.54176;4.89996
25/11/2019;9.04775;4.90028
26/11/2019;7.39566;4.86614
27/11/2019;8.64825;5.12982
28/11/2019;7.47814;4.84077
29/11/2019;7.41083;5.17258
30/11/2019;7.41936;5.19692
01/12/2019;7.84592;5.29427
02/12/2019;7.40278;5.92004
03/12/2019;7.53849;5.9925
04/12/2019;9.61114;4.93361
05/12/2019;8.40784;4.62771
06/12/2019;7.51643;4.50473
07/12/2019;8.63342;4.12858
08/12/2019;9.38804;3.82392
09/12/2019;10.2609;3.30949
10/12/2019;8.31923;2.92887
11/12/2019;8.53211;2.89669
12/12/2019;11.2929;3.0828
13/12/2019;9.98144;3.87301
14/12/2019;9.38697;3.05851
15/12/2019;8.46482;2.79645
16/12/2019;8.8201;2.53901
17/12/2019;8.81748;3.25961
18/12/2019;8.87446;1.64595
19/12/2019;8.51268;0.698765
20/12/2019;8.32663;0
21/12/2019;8.45935;0
22/12/2019;9.16893;0
23/12/2019;8.22943;0
24/12/2019;11.4424;0.768111
25/12/2019;14.477;0.787237
26/12/2019;8.67331;1.65763
27/12/2019;9.18841;1.71055
28/12/2019;9.83857;2.42173
29/12/2019;9.49586;2.10066
30/12/2019;9.04493;0.755357
31/12/2019;8.98488;1.10444
01/01/2020;10.1709;1.37082
02/01/2020;12.0501;0.686823
03/01/2020;12.1279;0.106453
04/01/2020;10.5558;0
05/01/2020;12.7667;1.40313
06/01/2020;11.2908;3.72199
07/01/2020;11.4956;4.60863
08/01/2020;11.4408;6.98284
09/01/2020;24.0718;7.38086
10/01/2020;12.2088;7.43447
11/01/2020;12.4731;6.33056
12/01/2020;12.3852;5.06335
13/01/2020;12.4648;4.17931
14/01/2020;12.3415;5.84689
15/01/2020;12.7489;4.49131
16/01/2020;12.6208;4.59829
17/01/2020;19.281;8.39768
18/01/2020;12.408;7.32337
19/01/2020;15.9143;7.1953
20/01/2020;13.4634;7.71391
21/01/2020;14.3489;8.98786
22/01/2020;21.2698;7.00919
23/01/2020;31.6333;6.6472
24/01/2020;27.0565;7.54759
25/01/2020;26.1483;10.9074
26/01/2020;27.9487;16.2875
27/01/2020;24.9232;21.0045
28/01/2020;23.1097;26.1459
29/01/2020;31.7691;30.943
30/01/2020;22.0482;35.9438
31/01/2020;22.9763;40.6489
01/02/2020;81.2582;44.5076
02/02/2020;76.5146;47.3662
03/02/2020;83.895;51.3018
04/02/2020;78.8888;56.1146
05/02/2020;95.2544;58.9867
06/02/2020;81.434;60.8396
07/02/2020;102.629;59.6693
08/02/2020;105.563;57.979
09/02/2020;97.3378;58.8767
10/02/2020;98.6226;60.6685
11/02/2020;96.3303;64.2063
12/02/2020;114.024;69.3345
13/02/2020;98.0205;74.1317
14/02/2020;95.9979;79.202
15/02/2020;113.243;84.6034
16/02/2020;95.3102;90.6915
17/02/2020;106.511;97.1637
18/02/2020;101.278;103.406
19/02/2020;121.878;108.151
20/02/2020;155.367;115.469
21/02/2020;107.157;118
22/02/2020;105.081;117.394
23/02/2020;119.407;115.884
24/02/2020;104.141;114.919
25/02/2020;105.413;103.9
26/02/2020;111.246;107.239
27/02/2020;102.638;104.285
28/02/2020;116.64;101.768
29/02/2020;137.806;100.143
01/03/2020;136.239;99.0339
02/03/2020;135.711;96.7627
03/03/2020;139.766;96.1436
04/03/2020;136.537;92.2311
05/03/2020;138.138;99.8618
06/03/2020;154.842;109.089
07/03/2020;138.456;117.838
08/03/2020;142.412;128.538
09/03/2020;140.118;141.848
10/03/2020;144.737;151.8
11/03/2020;143.606;161.484
12/03/2020;142.223;171.471
13/03/2020;149.281;183.899
14/03/2020;147.571;201.155
15/03/2020;140.281;216.45
16/03/2020;137.327;230.941
17/03/2020;136.777;241.466
18/03/2020;135.383;150.305
19/03/2020;149.556;142.709
20/03/2020;142.018;147.913
21/03/2020;141.246;154.853
22/03/2020;137.692;158.51
23/03/2020;135.975;160.515
24/03/2020;201.632;160.597
25/03/2020;151.055;158.243
26/03/2020;149.646;151.597
27/03/2020;148.934;143.479
28/03/2020;154.883;168.197
29/03/2020;147.044;240.625
30/03/2020;144.691;234.287
31/03/2020;141.94;230.448
01/04/2020;136.275;228.801
02/04/2020;135.692;228.059
03/04/2020;131.778;227.773
04/04/2020;128.944;225.439
05/04/2020;126.939;222.134
06/04/2020;131.016;215.623
07/04/2020;125.779;204.803
08/04/2020;123.687;189.519
09/04/2020;124.59;168.037
10/04/2020;126.299;156.76
11/04/2020;123.078;148.945
12/04/2020;122.06;136.992
13/04/2020;122.553;127.238
14/04/2020;138.714;120.416
15/04/2020;177.812;125.218
16/04/2020;137.278;131.909
17/04/2020;143.729;136.348
18/04/2020;142.827;148.635
19/04/2020;139.102;160.522
20/04/2020;171.932;171.678
21/04/2020;144.197;186.08
22/04/2020;145.23;200.048
23/04/2020;196.473;212.248
24/04/2020;166.288;223.543
25/04/2020;153.258;233.567
26/04/2020;150.552;238.929
27/04/2020;147.579;238.495
28/04/2020;144.765;171.461
29/04/2020;142.098;140.795
30/04/2020;139.564;140.806
01/05/2020;131.672;154.197
02/05/2020;129.583;237.434
03/05/2020;127.136;232.205
04/05/2020;124.934;219.138
05/05/2020;122.367;202.051
06/05/2020;120.691;180.276
07/05/2020;119.592;164.45
08/05/2020;117.422;157.256
09/05/2020;115.518;141.751
10/05/2020;113.522;128.718
11/05/2020;110.203;117.809
12/05/2020;110.668;109.85
13/05/2020;109.313;103.837
14/05/2020;106.814;98.0317
15/05/2020;104.927;92.0673
16/05/2020;102.424;88.2281
17/05/2020;114.969;85.2459
18/05/2020;111.647;81.4038
19/05/2020;102.502;79.7943
20/05/2020;102.571;78.1391
21/05/2020;100.275;76.9462
22/05/2020;97.7008;75.8285
23/05/2020;97.0466;74.8605
24/05/2020;96.6482;73.7427
25/05/2020;93.886;71.9407
26/05/2020;96.2294;70.8464
27/05/2020;94.5224;69.8863
28/05/2020;95.1284;65.2483
29/05/2020;93.6984;59.8174
30/05/2020;93.0602;58.9927
