Streamflow (below node or reach listed)
"Scenario: MySimulation19, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"9 \ Foz Rio Urubu Regionalizado 2 (gauge)";"9 \ Foz Urubu REGIONALIZADO (gauge)";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ FOZ URUBU_TELEMÉTRICA_26798500 (gauge)";"16 \ Reach"
01/09/2018; ;2.37891;2.37891;2.37891;2.37891;2.37891;2.37891;2.37891;2.37891;2.37891;1.15425;3.89676;2.37891;9.91963;9.91963;9.91963;9.91963;9.91963;9.10026;9.91963
02/09/2018; ;2.36279;2.36279;2.36279;2.36279;2.36279;2.36279;2.36279;2.36279;2.36279;1.14591;1.74281;2.36279;9.85873;9.85873;9.85873;9.85873;9.85873;4.07005;9.85873
03/09/2018; ;2.34744;2.34744;2.34744;2.34744;2.34744;2.34744;2.34744;2.34744;2.34744;1.11392;0.529689;2.34744;9.80069;9.80069;9.80069;9.80069;9.80069;1.23701;9.80069
04/09/2018; ;2.33281;2.33281;2.33281;2.33281;2.33281;2.33281;2.33281;2.33281;2.33281;1.1028;0.550462;2.33281;9.74547;9.74547;9.74547;9.74547;9.74547;1.28552;9.74547
05/09/2018; ;2.3189;2.3189;2.3189;2.3189;2.3189;2.3189;2.3189;2.3189;2.3189;1.11253;0.593434;2.3189;9.69271;9.69271;9.69271;9.69271;9.69271;1.38587;9.69271
06/09/2018; ;2.30652;2.30652;2.30652;2.30652;2.30652;2.30652;2.30652;2.30652;2.30652;1.11253;0.634997;2.30652;9.64557;9.64557;9.64557;9.64557;9.64557;1.48293;9.64557
07/09/2018; ;2.29554;2.29554;2.29554;2.29554;2.29554;2.29554;2.29554;2.29554;2.29554;1.11253;0.659395;2.29554;9.60372;9.60372;9.60372;9.60372;9.60372;1.53991;9.60372
08/09/2018; ;2.28366;2.28366;2.28366;2.28366;2.28366;2.28366;2.28366;2.28366;2.28366;1.10558;0.658493;2.28366;9.55797;9.55797;9.55797;9.55797;9.55797;1.53781;9.55797
09/09/2018; ;2.27097;2.27097;2.27097;2.27097;2.27097;2.27097;2.27097;2.27097;2.27097;1.07081;0.697506;2.27097;9.50889;9.50889;9.50889;9.50889;9.50889;1.62892;9.50889
10/09/2018; ;2.28068;2.28068;2.28068;2.28068;2.28068;2.28068;2.28068;2.28068;2.28068;1.0722;0.679492;2.28068;9.48774;9.48774;9.48774;9.48774;9.48774;1.58685;9.48774
11/09/2018; ;2.28925;2.28925;2.28925;2.28925;2.28925;2.28925;2.28925;2.28925;2.28925;1.04439;0.694397;2.28925;9.46477;9.46477;9.46477;9.46477;9.46477;1.62165;9.46477
12/09/2018; ;2.27692;2.27692;2.27682;2.27682;2.27683;2.27683;2.27683;2.27683;2.27683;1.0429;0.656259;2.27683;9.4194;9.4194;9.4194;9.4194;9.4194;1.53259;9.4194
13/09/2018; ;2.26639;2.26639;2.26639;2.26639;2.26639;2.26639;2.26639;2.26639;2.26639;1.043;0.670113;2.26639;9.38036;9.38036;9.38036;9.38036;9.38036;1.56494;9.38036
