seca2016-2022;Urubu_media;Urubu_max;Urubu_min;DIRF_med;DIRF_max;DIRF_min;Formoso_med;Formoso_max;Formoso_min;Duere_med;Duere_max;Duere_min;Xavante_med;Xavante_max;Xavante_min
06/jul;377.6492867;468.11456;298.8854;173.1428571;212;124;151.8626388;194.81319;69.885414;126.255617;183.91667;81.708336;206.7187525;291.83334;160.04167
07/jul;374.68402;465.17706;303.3021;172.7142857;210;124;143.6729168;181.26042;70.447914;130.7847712;173.78125;85.020836;193.19161;280.28125;153.27472
08/jul;374.6249967;463.34375;316.8229;171.4285714;209;124;142.4479172;179.29167;72.802086;124.3049527;165.58333;85.270836;195.517218;282.66666;135.05208
09/jul;372.08032;458.5;317.78262;169.4285714;206;122;142.139584;177.09375;75.6875;123.8651757;168.53125;80.82758;195.4912292;277.1146;113.302086
10/jul;367.7708333;455.88544;310.9479;168;204;118;144.4225067;177.35417;73.47253;122.0946963;162.61458;85.479164;192.129222;278.6354;101.28125
11/jul;358.43402;449.10416;294.0729;165.8571429;203;114;141.0272133;174.44792;59.26744;122.8022644;157.42708;85.114586;195.2305292;270.3021;123.333336
12/jul;346.3888867;439.3021;270.22916;166;199;116;141.7222223;169.6875;68.729164;118.2991643;156.11458;86.72059;201.77767;265.33334;172.65625
13/jul;344.1328967;435.4091;272.95834;165.7142857;198;115;141.5277793;167.92708;70.708336;115.9502317;160.02083;79.05556;204.627452;279.91666;175.22917
14/jul;339.50348;434.45834;288.8646;163.7142857;198;114;141.301179;167.4375;75.166664;114.7264888;158.94792;85.229164;200.097922;260.88043;174.90625
15/jul;334.3229167;431.375;267.78125;163.1428571;195;114;140.5729943;167.03125;76.052086;108.5391915;158.89583;75.635414;192.818752;256.14584;142.76042
16/jul;329.9930533;424.91666;260.0729;163.1428571;194;114;141.7230983;165.92708;79.5;106.6412125;159.33333;82.043015;193.202084;251;145.78125
17/jul;330.3819467;421.5;273.6875;161.2857143;194;112;141.8856723;163.82292;77.510414;104.1430537;159.08333;82.479164;195.56304;247.35417;171.47917
18/jul;330.0189533;413.23914;273.20834;160.4285714;191;114;142.2152777;163.40625;82.770836;102.2305867;158.67708;68.73585;202.00076;258.5625;168.61458
19/jul;318.9541667;398.9375;242.45833;160.2857143;190;114;140.8871523;163.69792;74.447914;103.4791657;158.27083;77;197.543748;250.20833;143.98958
20/jul;315.55486;389.34375;236.52083;158.8571429;189;114;142.3315957;161.46875;86.135414;102.3975713;157.66667;77.75;198.358108;255.6875;156.86458
21/jul;318.520825;388.8229;248.21875;158.2857143;187;112;138.9269223;160.95833;77.729164;103.44769;157.46739;77.708336;196.256668;247.04167;166.92708
22/jul;323.59375;386.3854;260.8021;157.4285714;186;110;137.2662383;163.28125;76.53125;104.0722482;155.69792;77.209305;191.610416;244.86458;163.375
